status,x,y,z,azimuth,elevation,roll,button,quality,time,image_ts,image_filename
0x0000,237.53,161.292,-15.069,-153.081,-45.791,57.854,1,6,1743801355800,1743801355797,data_Color_1743801355797.89648437500000.png
0x0000,237.306,159.841,-14.957,-154.132,-44.846,58.593,1,6,1743801355867,1743801355865,data_Color_1743801355865.34594726562500.png
0x0000,237.083,158.39,-14.622,-155.181,-44.062,59.308,1,6,1743801355933,1743801355932,data_Color_1743801355932.37890625000000.png
0x0000,237.306,157.274,-14.511,-155.801,-43.664,59.705,1,6,1743801356000,1743801355999,data_Color_1743801355999.43188476562500.png
0x0000,237.865,156.381,-14.622,-156.062,-43.5,59.805,1,6,1743801356066,1743801356066,data_Color_1743801356066.79638671875000.png
0x0000,238.423,155.265,-14.846,-156.302,-43.279,59.883,1,6,1743801356133,1743801356134,data_Color_1743801356134.00097656250000.png
0x0000,238.981,154.372,-14.957,-156.565,-43.048,60.056,1,6,1743801356200,1743801356201,data_Color_1743801356201.00830078125000.png
0x0000,239.316,153.479,-14.846,-156.818,-42.876,60.24,1,6,1743801356266,1743801356268,data_Color_1743801356268.43237304687500.png
0x0000,239.65,152.809,-14.734,-157.044,-42.8,60.38,1,6,1743801356333,1743801356335,data_Color_1743801356335.74926757812500.png
0x0000,239.985,152.251,-14.399,-157.204,-42.762,60.434,1,6,1743801356399,1743801356403,data_Color_1743801356403.42285156250000.png
0x0000,240.432,151.581,-14.288,-157.335,-42.753,60.409,1,6,1743801356466,1743801356469,data_Color_1743801356469.66357421875000.png
0x0000,240.767,151.023,-14.399,-157.374,-42.81,60.282,1,6,1743801356533,1743801356536,data_Color_1743801356536.77636718750000.png
0x0000,241.102,150.465,-14.622,-157.382,-42.867,60.13,1,6,1743801356599,1743801356604,data_Color_1743801356604.23486328125000.png
0x0000,241.436,150.242,-14.846,-157.399,-42.934,60.001,1,6,1743801356666,1743801356671,data_Color_1743801356671.24047851562500.png
0x0000,241.548,150.13,-14.846,-157.449,-42.982,59.956,1,6,1743801356743,1743801356738,data_Color_1743801356738.45043945312500.png
0x0000,241.548,150.242,-14.734,-157.531,-42.991,59.96,1,7,1743801356810,1743801356805,data_Color_1743801356805.77954101562500.png
0x0000,241.66,150.465,-14.288,-158.086,-43.192,60.052,1,7,1743801356876,1743801356872,data_Color_1743801356872.85131835937500.png
0x0000,241.883,151.135,-14.064,-159.501,-43.751,60.471,1,7,1743801356943,1743801356940,data_Color_1743801356940.18554687500000.png
0x0000,242.441,151.358,-14.064,-160.83,-44.247,61.093,1,7,1743801357010,1743801357007,data_Color_1743801357007.25048828125000.png
0x0000,243.222,151.358,-14.064,-161.643,-44.629,61.637,1,7,1743801357076,1743801357074,data_Color_1743801357074.47485351562500.png
0x0000,243.892,151.47,-13.953,-162.373,-45.033,62.124,1,7,1743801357143,1743801357141,data_Color_1743801357141.58886718750000.png
0x0000,244.673,151.47,-13.729,-163.542,-45.69,62.754,1,7,1743801357209,1743801357209,data_Color_1743801357209.17211914062500.png
0x0000,245.455,150.912,-13.953,-164.559,-46.579,63.203,1,7,1743801357276,1743801357276,data_Color_1743801357276.19409179687500.png
0x0000,246.348,150.242,-14.511,-165.448,-47.585,63.356,1,7,1743801357342,1743801357343,data_Color_1743801357343.26220703125000.png
0x0000,247.241,149.461,-15.627,-166.342,-48.4,63.581,1,7,1743801357409,1743801357410,data_Color_1743801357410.40063476562500.png
0x0000,248.022,148.568,-16.632,-166.923,-48.749,63.852,1,7,1743801357476,1743801357477,data_Color_1743801357477.72509765625000.png
0x0000,248.469,147.898,-17.301,-167.232,-48.855,64.106,1,7,1743801357542,1743801357544,data_Color_1743801357544.91186523437500.png
0x0000,249.027,147.117,-17.636,-167.744,-49.036,64.566,1,7,1743801357609,1743801357611,data_Color_1743801357611.95336914062500.png
